ID,Name,Tags,Link
1875A,Jellyfish and Undertale,"brute force, greedy",https://codeforces.com/contest/1875/problem/A
1855B,Longest Divisors Interval,"brute force, combinatorics, greedy, math, number theory",https://codeforces.com/contest/1855/problem/B
1675B,Make It Increasing,"greedy, implementation",https://codeforces.com/contest/1675/problem/B
1679A,AvtoBus,"brute force, greedy, math, number theory",https://codeforces.com/contest/1679/problem/A
1696B,NIT Destroys the Universe,greedy,https://codeforces.com/contest/1696/problem/B
1726A,Mainak and Array,"greedy, math",https://codeforces.com/contest/1726/problem/A
1665B,Array Cloning Technique,"constructive algorithms, greedy, sortings",https://codeforces.com/contest/1665/problem/B
300C,Beautiful Numbers,"brute force, combinatorics",https://codeforces.com/contest/300/problem/C
2009C,The Legend of Freya the Frog,"implementation, math",https://codeforces.com/contest/2009/problem/C
1828B,Permutation Swap,"math, number theory",https://codeforces.com/contest/1828/problem/B
1582B,Luntik and Subsequences,"combinatorics, math",https://codeforces.com/contest/1582/problem/B
1167B,Lost Numbers,"brute force, divide and conquer, interactive, math",https://codeforces.com/contest/1167/problem/B
742A,Arpa’s hard exam and Mehrdad’s naive cheat,"implementation, math, number theory",https://codeforces.com/contest/742/problem/A
1471A,Strange Partition,"greedy, math, number theory",https://codeforces.com/contest/1471/problem/A
1440B,Sum of Medians,"greedy, math",https://codeforces.com/contest/1440/problem/B
1837B,Comparison String,greedy,https://codeforces.com/contest/1837/problem/B
2218D,The 67th OEIS Problem,"constructive algorithms, greedy, math, number theory",https://codeforces.com/contest/2218/problem/D
706D,Vasiliy's Multiset,"binary search, bitmasks, data structures, trees",https://codeforces.com/contest/706/problem/D
1601A,Array Elimination,"bitmasks, greedy, math, number theory",https://codeforces.com/contest/1601/problem/A
1420B,Rock and Lever,"bitmasks, math",https://codeforces.com/contest/1420/problem/B
1878C,Vasilije in Cacak,math,https://codeforces.com/contest/1878/problem/C
1426D,Non-zero Segments,"constructive algorithms, data structures, greedy, sortings",https://codeforces.com/contest/1426/problem/D
1296C,Yet Another Walking Robot,"data structures, implementation",https://codeforces.com/contest/1296/problem/C
1807D,Odd Queries,"data structures, implementation",https://codeforces.com/contest/1807/problem/D
1398C,Good Subarrays,"data structures, dp, math",https://codeforces.com/contest/1398/problem/C
1701C,Schedule Management,"binary search, greedy, implementation, two pointers",https://codeforces.com/contest/1701/problem/C
1890A,Doremy's Paint 3,constructive algorithms,https://codeforces.com/contest/1890/problem/A
1610C,Keshi Is Throwing a Party,"binary search, greedy",https://codeforces.com/contest/1610/problem/C
1201C,Maximum Median,"binary search, greedy, math, sortings",https://codeforces.com/contest/1201/problem/C
1538C,Number of Pairs,"binary search, data structures, math, two pointers",https://codeforces.com/contest/1538/problem/C
1324D,Pair of Topics,"binary search, data structures, sortings, two pointers",https://codeforces.com/contest/1324/problem/D
1409B,Minimum Product,"brute force, greedy, math",https://codeforces.com/contest/1409/problem/B
1360E,Polygon,"dp, graphs, implementation, shortest paths",https://codeforces.com/contest/1360/problem/E
1373C,Pluses and Minuses,math,https://codeforces.com/contest/1373/problem/C
1360D,Buying Shovels,"math, number theory",https://codeforces.com/contest/1360/problem/D
1409C,Yet Another Array Restoration,"brute force, math, number theory",https://codeforces.com/contest/1409/problem/C
1328B,K-th Beautiful String,"binary search, brute force, combinatorics, implementation, math",https://codeforces.com/contest/1328/problem/B
1328C,Ternary XOR,"greedy, implementation",https://codeforces.com/contest/1328/problem/C
1364A,XXXXX,"brute force, data structures, number theory, two pointers",https://codeforces.com/contest/1364/problem/A
1374C,Move Brackets,"greedy, strings",https://codeforces.com/contest/1374/problem/C
1341B,Nastya and Door,"greedy, implementation",https://codeforces.com/contest/1341/problem/B
1399C,Boats Competition,"brute force, greedy, two pointers",https://codeforces.com/contest/1399/problem/C
702C,Cellular Network,"binary search, implementation, two pointers",https://codeforces.com/contest/702/problem/C
701C,They Are Everywhere,"binary search, strings, two pointers",https://codeforces.com/contest/701/problem/C
251A,Points on Line,"binary search, combinatorics, two pointers",https://codeforces.com/contest/251/problem/A
580B,Kefa and Company,"binary search, sortings, two pointers",https://codeforces.com/contest/580/problem/B
279B,Books,"binary search, brute force, implementation, two pointers",https://codeforces.com/contest/279/problem/B
1354B,Ternary String,"binary search, dp, implementation, two pointers",https://codeforces.com/contest/1354/problem/B
363B,Fence,"brute force, dp",https://codeforces.com/contest/363/problem/B
1669F,Eating Candies,"binary search, data structures, greedy, two pointers",https://codeforces.com/contest/1669/problem/F
2218C,The 67th Permutation Problem,"constructive algorithms, greedy, math",https://codeforces.com/contest/2218/problem/C
2218B,The 67th 6-7 Integer Problem,"greedy, math",https://codeforces.com/contest/2218/problem/B
2218A,The 67th Integer Problem,"brute force, games, implementation, math",https://codeforces.com/contest/2218/problem/A
1196D1,RGB Substring (easy version),implementation,https://codeforces.com/contest/1196/problem/D1
676C,Vasya and String,"binary search, dp, strings, two pointers",https://codeforces.com/contest/676/problem/C
1606A,AB Balance,strings,https://codeforces.com/contest/1606/problem/A
433B,Kuriyama Mirai's Stones,"dp, implementation, sortings",https://codeforces.com/contest/433/problem/B
616D,Longest k-Good Segment,"binary search, data structures, two pointers",https://codeforces.com/contest/616/problem/D
1872D,Plus Minus Permutation,math,https://codeforces.com/contest/1872/problem/D
1800C1,Powering the Hero (easy version),"data structures, greedy",https://codeforces.com/contest/1800/problem/C1
1999A,A+B Again?,"implementation, math",https://codeforces.com/contest/1999/problem/A
1926A,Vlad and the Best of Five,implementation,https://codeforces.com/contest/1926/problem/A
1915A,Odd One Out,"bitmasks, implementation",https://codeforces.com/contest/1915/problem/A
1971A,My First Sorting Problem,"implementation, sortings",https://codeforces.com/contest/1971/problem/A
1985A,Creating Words,"implementation, strings",https://codeforces.com/contest/1985/problem/A
1950A,"Stair, Peak, or Neither?",implementation,https://codeforces.com/contest/1950/problem/A
2162B,Beautiful String,"brute force, constructive algorithms",https://codeforces.com/contest/2162/problem/B
2193B,Reverse a Permutation,greedy,https://codeforces.com/contest/2193/problem/B
112A,Petya and Strings,"implementation, strings",https://codeforces.com/contest/112/problem/A
1476A,K-divisible Sum,"binary search, constructive algorithms, greedy, math",https://codeforces.com/contest/1476/problem/A
1739B,Array Recovery,"constructive algorithms, greedy, math",https://codeforces.com/contest/1739/problem/B
1794B,Not Dividing,"constructive algorithms, greedy, math",https://codeforces.com/contest/1794/problem/B
131A,cAPS lOCK,"implementation, strings",https://codeforces.com/contest/131/problem/A
1850D,Balanced Round,"brute force, greedy, implementation, sortings",https://codeforces.com/contest/1850/problem/D
236A,Boy or Girl,"brute force, implementation, strings",https://codeforces.com/contest/236/problem/A
339A,Helpful Maths,"greedy, implementation, sortings, strings",https://codeforces.com/contest/339/problem/A
1624B,Make AP,"implementation, math",https://codeforces.com/contest/1624/problem/B
1877A,Goals of Victory,math,https://codeforces.com/contest/1877/problem/A
1837A,Grasshopper on a Line,"constructive algorithms, math",https://codeforces.com/contest/1837/problem/A
1783A,Make it Beautiful,"constructive algorithms, math, sortings",https://codeforces.com/contest/1783/problem/A
1881A,Don't Try to Count,"brute force, strings",https://codeforces.com/contest/1881/problem/A
1777A,Everybody Likes Good Arrays!,"greedy, math",https://codeforces.com/contest/1777/problem/A
1789A,Serval and Mocha's Array,"brute force, math, number theory",https://codeforces.com/contest/1789/problem/A
1475A,Odd Divisor,"math, number theory",https://codeforces.com/contest/1475/problem/A
1380A,Three Indices,"brute force, data structures",https://codeforces.com/contest/1380/problem/A
1373B,01 Game,games,https://codeforces.com/contest/1373/problem/B
1791C,Prepend and Append,"implementation, two pointers",https://codeforces.com/contest/1791/problem/C
1805A,We Need the Zero,"bitmasks, brute force",https://codeforces.com/contest/1805/problem/A
17A,Noldbach problem,"brute force, math, number theory",https://codeforces.com/contest/17/problem/A
1829B,Blank Space,implementation,https://codeforces.com/contest/1829/problem/B
1899E,Queue Sort,"greedy, implementation, sortings",https://codeforces.com/contest/1899/problem/E
1831A,Twin Permutations,constructive algorithms,https://codeforces.com/contest/1831/problem/A
1806A,Walking Master,"geometry, greedy, math",https://codeforces.com/contest/1806/problem/A
1834A,Unit Array,"greedy, math",https://codeforces.com/contest/1834/problem/A
1814A,Coins,"implementation, math",https://codeforces.com/contest/1814/problem/A
1853A,Desorting,"brute force, greedy, math",https://codeforces.com/contest/1853/problem/A
1690D,Black and White Stripe,"implementation, two pointers",https://codeforces.com/contest/1690/problem/D
1691B,Shoe Shuffling,"constructive algorithms, greedy, implementation, two pointers",https://codeforces.com/contest/1691/problem/B
1725B,Basketball Together,"binary search, greedy, sortings",https://codeforces.com/contest/1725/problem/B
1744C,Traffic Light,"binary search, implementation, two pointers",https://codeforces.com/contest/1744/problem/C
2185D,OutOfMemoryError,"data structures, implementation, math, two pointers",https://codeforces.com/contest/2185/problem/D
1869A,Make It Zero,constructive algorithms,https://codeforces.com/contest/1869/problem/A
2185C,Shifted MEX,"implementation, sortings",https://codeforces.com/contest/2185/problem/C
1374B,"Multiply by 2, divide by 6",math,https://codeforces.com/contest/1374/problem/B
1883B,Chemistry,strings,https://codeforces.com/contest/1883/problem/B
1857A,Array Coloring,"greedy, math",https://codeforces.com/contest/1857/problem/A
1858A,Buttons,"games, greedy, math",https://codeforces.com/contest/1858/problem/A
2200C,Specialty String,"brute force, greedy, strings",https://codeforces.com/contest/2200/problem/C
2200B,Deletion Sort,"bitmasks, brute force, greedy, sortings",https://codeforces.com/contest/2200/problem/B
2200A,Eating Game,greedy,https://codeforces.com/contest/2200/problem/A
1157C1,Increasing Subsequence (easy version),greedy,https://codeforces.com/contest/1157/problem/C1
1237B,Balanced Tunnel,"data structures, sortings, two pointers",https://codeforces.com/contest/1237/problem/B
1845A,Forbidden Integer,"constructive algorithms, implementation, math, number theory",https://codeforces.com/contest/1845/problem/A
1866A,Ambitious Kid,math,https://codeforces.com/contest/1866/problem/A
1862B,Sequence Game,constructive algorithms,https://codeforces.com/contest/1862/problem/B
1859A,United We Stand,"constructive algorithms, math, number theory",https://codeforces.com/contest/1859/problem/A
327A,Flipping Game,"brute force, dp, implementation",https://codeforces.com/contest/327/problem/A
580A,Kefa and First Steps,"brute force, dp, implementation",https://codeforces.com/contest/580/problem/A
1873C,Target Practice,"implementation, math",https://codeforces.com/contest/1873/problem/C
1878A,How Much Does Daytona Cost?,greedy,https://codeforces.com/contest/1878/problem/A
1666D,Deletive Editing,greedy,https://codeforces.com/contest/1666/problem/D
1788A,One and Two,"brute force, implementation, math",https://codeforces.com/contest/1788/problem/A
1766A,Extremely Round,"brute force, implementation",https://codeforces.com/contest/1766/problem/A
1896A,Jagged Swaps,sortings,https://codeforces.com/contest/1896/problem/A
1899A,Game with Integers,"games, math, number theory",https://codeforces.com/contest/1899/problem/A
1900A,Cover in Water,"constructive algorithms, greedy, implementation, strings",https://codeforces.com/contest/1900/problem/A
1761A,Two Permutations,"brute force, constructive algorithms",https://codeforces.com/contest/1761/problem/A
1901A,Line Trip,"greedy, math",https://codeforces.com/contest/1901/problem/A
1903A,Halloumi Boxes,"brute force, greedy, sortings",https://codeforces.com/contest/1903/problem/A
1914D,Three Activities,"brute force, dp, greedy, implementation, sortings",https://codeforces.com/contest/1914/problem/D
282A,Bit++,implementation,https://codeforces.com/contest/282/problem/A
1791D,Distinct Split,"brute force, greedy, strings",https://codeforces.com/contest/1791/problem/D
1800D,Remove Two Letters,"data structures, greedy, hashing, strings",https://codeforces.com/contest/1800/problem/D
479A,Expression,"brute force, math",https://codeforces.com/contest/479/problem/A
1917B,Erase First or Second Letter,"brute force, combinatorics, data structures, dp, strings",https://codeforces.com/contest/1917/problem/B
279C,Ladder,"dp, implementation, two pointers",https://codeforces.com/contest/279/problem/C
1324C,Frog Jumps,"binary search, data structures, dfs and similar, greedy, implementation",https://codeforces.com/contest/1324/problem/C
977A,Wrong Subtraction,implementation,https://codeforces.com/contest/977/problem/A
